#      Train        Test
     4.37577      5.92732 
     4.23324      6.25097 
     4.35248      6.02891 
     4.33602      5.95013 
     4.34572      6.42275 
     4.28473      5.84042 
     4.26416      5.92282 
     4.37792      6.65459 
     4.33153      6.26814 
     4.27769      6.34028 
     4.31636       6.1682 
     4.26793      6.21452 
     4.18172      6.16641 
     4.31425      5.85404 
     4.23246      6.06566 
     4.21387      5.92549 
     4.27748      5.93679 
     4.20114      6.12221 
      4.2241      5.90779 
     4.18057      6.22722 
      4.1585      5.88427 
     4.20109      6.03939 
     4.17565      6.11678 
     4.22095       5.7905 
     4.35879      6.07488 
     4.19929      6.13046 
     4.14889      6.10588 
     4.20509      6.30926 
     4.24862      5.87898 
     4.17869      6.24934 
     4.23852      6.07763 
     4.15427      5.67149 
     4.16274      5.96188 
     4.09155      5.56646 
     4.15148       5.9383 
     4.07859      5.89334 
      4.2189      6.02095 
     4.10419      6.11381 
     4.13244      6.20643 
     4.19647      6.23771 
     4.14154      5.87988 
     4.06055       6.0053 
     4.12759      6.04587 
     4.18473      6.38628 
     4.14449      6.15298 
     4.09256      6.01214 
     4.16183      5.70516 
     4.22902      6.21802 
     4.19635      5.92505 
     4.10447      6.22883 
     4.22459      5.93169 
     4.20075      6.10737 
     4.18752      6.19531 
     4.17249      5.98882 
     4.07037      5.88335 
     4.05637      5.87485 
     4.16943       5.6771 
     4.22568       5.9099 
     4.10554      5.90934 
     4.27758      5.77103 
     4.06468      5.96924 
     4.07186      5.95881 
     4.09416      6.01326 
     4.10619      5.84514 
     4.03872      5.72168 
     4.06033      5.78816 
     4.11253       5.7406 
     4.04668      5.84478 
     4.11917      6.00884 
     4.08904      5.83649 
     4.03812       6.0009 
     4.02799      6.00414 
     4.03262      6.15598 
     4.04159      5.83285 
     3.97354      5.83625 
     4.04834       5.9698 
     4.04514      6.03025 
     4.07081      5.97129 
     4.07741      6.25178 
     3.93655      5.77286 
     3.94903      5.59342 
     4.04022      5.84374 
      4.0827       5.5295 
     4.04431      5.88059 
     3.97521      5.97709 
     4.02174      5.75794 
     4.07185      5.45999 
     4.09254      5.73973 
     4.03083      5.56565 
     4.09218      5.68309 
     4.00212      5.65853 
     4.02535      5.44927 
     3.96604      5.44842 
     3.96217      5.59017 
     3.99691      5.41992 
     4.15429      5.91341 
