#      Train        Test
    0.932219     0.787879 
    0.926648     0.806818 
    0.926648     0.795455 
     0.92572     0.795455 
    0.923863     0.806818 
    0.920149     0.806818 
    0.926648     0.810606 
    0.917363     0.829545 
    0.932219     0.806818 
    0.934076     0.829545 
    0.922006      0.82197 
    0.916435      0.80303 
    0.915506     0.772727 
    0.921077     0.814394 
    0.918292     0.814394 
    0.927577     0.776515 
    0.926648     0.780303 
    0.917363     0.818182 
    0.927577     0.799242 
    0.923863     0.776515 
    0.935005     0.818182 
     0.92572     0.825758 
     0.92572     0.806818 
    0.907149     0.818182 
     0.92572     0.818182 
    0.918292     0.814394 
    0.929434     0.814394 
    0.915506     0.814394 
    0.924791     0.814394 
    0.934076     0.814394 
     0.91922     0.806818 
    0.913649     0.799242 
    0.911792     0.787879 
    0.922006     0.814394 
    0.916435     0.840909 
    0.913649     0.829545 
    0.920149     0.840909 
    0.924791     0.825758 
    0.914578     0.814394 
    0.924791     0.814394 
    0.920149     0.825758 
    0.942433     0.772727 
    0.917363     0.814394 
    0.932219     0.814394 
     0.91922      0.80303 
    0.921077     0.825758 
     0.92572     0.844697 
     0.92572     0.825758 
    0.927577      0.80303 
    0.942433     0.776515 
    0.927577     0.833333 
    0.928505     0.814394 
     0.92572     0.787879 
    0.924791     0.825758 
    0.929434     0.844697 
    0.921077     0.795455 
    0.939647     0.814394 
    0.922934      0.82197 
    0.931291     0.806818 
    0.931291      0.82197 
    0.929434     0.814394 
    0.931291     0.818182 
     0.92572     0.825758 
    0.922934     0.810606 
    0.936862      0.82197 
    0.926648     0.837121 
    0.926648     0.791667 
    0.932219     0.829545 
    0.929434     0.776515 
    0.930362     0.837121 
    0.926648     0.833333 
    0.917363     0.848485 
    0.924791     0.814394 
    0.938719      0.82197 
    0.935005     0.844697 
    0.933148     0.833333 
    0.927577     0.829545 
    0.931291     0.806818 
    0.935005     0.814394 
    0.929434     0.825758 
    0.918292      0.82197 
    0.938719     0.814394 
    0.929434     0.844697 
    0.935933     0.784091 
    0.935005     0.810606 
     0.92572      0.80303 
    0.924791     0.840909 
    0.934076     0.814394 
     0.92572     0.825758 
    0.926648     0.833333 
     0.94429     0.818182 
    0.936862     0.806818 
    0.930362      0.82197 
    0.930362     0.825758 
    0.924791     0.837121 
    0.935933     0.829545 
    0.928505     0.833333 
     0.92572     0.810606 
    0.917363     0.825758 
    0.935005     0.829545 
    0.921077     0.848485 
    0.935005     0.795455 
    0.941504     0.799242 
    0.935933     0.818182 
    0.924791     0.818182 
    0.929434     0.814394 
    0.940576     0.833333 
    0.926648     0.825758 
    0.930362      0.82197 
    0.948004     0.818182 
    0.933148      0.80303 
    0.929434     0.806818 
    0.940576     0.818182 
    0.942433     0.837121 
    0.943361     0.818182 
    0.943361     0.829545 
    0.943361     0.814394 
    0.936862     0.791667 
     0.93779     0.818182 
    0.948932     0.810606 
    0.935933     0.810606 
    0.940576     0.795455 
    0.936862     0.814394 
    0.936862     0.799242 
    0.946147     0.829545 
    0.936862      0.82197 
    0.946147     0.848485 
    0.943361     0.818182 
    0.928505      0.82197 
    0.938719     0.856061 
    0.934076     0.825758 
    0.938719     0.825758 
    0.933148     0.818182 
    0.943361     0.825758 
    0.941504     0.829545 
    0.935005     0.829545 
    0.945218     0.806818 
    0.933148      0.82197 
    0.932219     0.818182 
    0.940576     0.810606 
    0.936862     0.784091 
    0.942433     0.818182 
    0.948932     0.833333 
    0.946147     0.825758 
    0.938719     0.852273 
    0.932219      0.80303 
    0.929434     0.833333 
    0.942433     0.806818 
    0.952646     0.829545 
    0.932219     0.848485 
     0.93779     0.814394 
    0.943361     0.825758 
    0.948004     0.814394 
    0.928505     0.810606 
    0.938719      0.80303 
    0.942433     0.844697 
    0.946147      0.82197 
    0.935933     0.840909 
     0.93779     0.814394 
    0.932219     0.837121 
    0.939647      0.82197 
    0.950789     0.795455 
    0.958217     0.818182 
    0.928505     0.833333 
    0.941504     0.814394 
     0.93779     0.825758 
    0.949861     0.844697 
    0.947075      0.82197 
