#      Train        Test
     3.76886      5.18339 
     3.83434      5.32082 
      3.8282       5.3553 
     3.83608      5.36292 
     3.78809      5.30101 
     3.81076      5.38281 
     3.78435      5.43658 
     3.78902      4.99108 
     3.81825      5.56756 
     3.74167      5.28974 
     3.77994      5.53516 
     3.79738      5.31423 
     3.87576      5.35907 
     3.85488      5.14556 
     3.96746      5.10548 
     3.74072      5.54746 
     3.76275      5.62321 
     3.77039      4.99179 
     3.78898      5.48951 
     3.84554      5.59234 
     3.65341      5.20085 
     3.65386      5.09869 
     3.73002      5.14184 
     3.75607       5.6664 
     3.77816      4.94294 
     3.76701      5.52305 
        3.67      5.31759 
     3.77503      5.34835 
     3.74746       5.4459 
     3.67898      5.05402 
     3.69597      5.35716 
     3.78746      5.48219 
     3.76065      5.20299 
     3.76032      5.11553 
     3.80852      5.34021 
     3.71916      5.31702 
     3.72229      4.98853 
     3.68051      5.16083 
     3.79496      5.08691 
     3.69519      5.51868 
      3.7848      5.05428 
     3.63701      5.48057 
     3.63584      5.16074 
     3.63749       5.3787 
     3.78199      5.20427 
     3.61252      4.97791 
     3.64772      5.24542 
      3.8793      5.32117 
     3.63336      5.29203 
      3.6783      5.42345 
     3.60482      5.11827 
     3.63055      5.06747 
     3.58541      5.24612 
     3.66731      5.01527 
     3.59637      5.51508 
     3.67529      5.11497 
     3.66197      5.13081 
      3.6153       5.1065 
     3.54589      5.02632 
     3.48409      5.08784 
     3.56945      4.99816 
     3.46858      4.99444 
     3.57603      4.86503 
     3.72073      5.12386 
     3.54302      5.05707 
     3.62144       5.1794 
     3.47677      5.31136 
     3.56055      4.88258 
     3.64024      5.16251 
     3.53902       4.9121 
     3.59445      5.08781 
     3.63689      4.95382 
     3.56968      5.07031 
      3.4677      4.85116 
     3.53978      5.00296 
      3.5632      5.00545 
      3.6746      4.88385 
     3.55487      5.03298 
     3.50922      5.05582 
     3.53079        4.877 
     3.61592      5.03824 
      3.4652      5.22628 
     3.52483      4.71462 
      3.5043      5.34872 
     3.53801      5.17024 
     3.58831      5.44379 
     3.49979      5.03311 
     3.42695       4.9803 
     3.57798      5.09058 
     3.57357      4.78868 
     3.43553      5.34269 
     3.46424      5.01966 
      3.4611      4.85372 
     3.51863      5.26478 
      3.5597      4.75356 
     3.46503      4.83081 
       3.539      5.06048 
     3.42429      4.97086 
       3.557      4.87437 
     3.38395      5.29252 
     3.56584      4.99876 
     3.40849      5.20972 
     3.42441      5.19311 
     3.44878      5.13548 
     3.58428      5.22254 
     3.44031      5.02662 
     3.35388      5.16093 
     3.41617      4.87067 
     3.47783      5.17931 
     3.34612      5.24533 
     3.45045      4.96364 
     3.52123      5.11431 
     3.42144      4.63724 
     3.38584      4.80561 
     3.26513      4.71847 
     3.28036      4.74018 
      3.3093      5.07201 
     3.34966      5.08022 
     3.38836      4.98626 
     3.23858      4.75268 
     3.34411       4.9532 
     3.39208      5.04903 
      3.3597      5.02697 
     3.42002      5.04523 
     3.25911      4.99374 
     3.30162      5.08836 
     3.16544       4.7172 
     3.32779      4.96605 
     3.35344      4.98661 
     3.35221       4.4776 
     3.30835      4.66526 
     3.30263      4.72575 
      3.4371      4.94791 
      3.2587      4.60812 
     3.25068       4.8392 
     3.35817      4.73017 
     3.25419      5.12527 
     3.25445      4.59723 
     3.30041      4.62633 
     3.24947      5.14941 
     3.29828      5.15927 
     3.20732      4.92982 
     3.20871      4.65866 
     3.24048      4.80857 
     3.29276      5.04934 
     3.33762      4.97998 
     3.34734      4.54275 
     3.13408      4.69612 
     3.12396      4.67684 
     3.33499      4.82261 
     3.27371      5.08198 
     3.27722      4.98373 
     3.19397      5.05346 
       3.304      4.95795 
     3.31508      5.02324 
     3.21687      4.83775 
     3.22954      4.96022 
     3.23288      4.46428 
     3.22907      4.92051 
     3.27613        4.488 
     3.21204      4.80746 
     3.15404      4.96067 
     3.07805      4.65697 
     3.25723      4.75531 
      3.2614      4.69186 
      3.1412      4.89993 
     3.11797      4.55617 
     3.10516      4.82865 
     3.13287       4.8459 
     3.21871      4.50948 
     3.33863      4.87758 
     3.16724      4.87871 
     3.22345      4.71928 
     3.10427      4.86929 
     3.07315      5.04353 
     3.15548      4.65901 
     3.26599       4.9505 
     3.19031       4.5899 
     3.21929      4.60714 
     3.19453      4.65013 
     3.11673      4.79706 
     3.10174      4.81655 
     3.18106      4.94228 
     3.08586      4.92302 
     3.09382      4.90633 
      3.1148      4.81187 
     3.07207      4.62969 
     3.06248      4.69588 
      3.1123      4.74007 
     3.11513      5.20176 
     3.10844       4.7499 
     3.09852      4.57934 
     3.05498      4.48254 
     3.11654      4.67946 
     2.99884      4.86252 
     3.06707      4.53674 
     3.14167       4.8015 
     3.09754      4.68977 
     3.07869      4.66441 
      3.1895      4.94018 
     3.00121      4.53437 
     3.00025      4.59426 
     2.90259      4.74743 
     3.08889      4.58407 
     3.10579      4.70835 
     3.07329      4.54223 
     3.09342      4.75146 
     2.95074      4.52917 
     3.05436      4.44031 
     3.05018      4.51039 
     3.03377      4.68465 
     3.06842      4.93742 
     3.01309      4.83198 
     3.02293      4.90728 
     3.07133      4.54205 
     3.07812      4.64774 
     3.01737      4.52405 
     2.99249      4.66689 
     3.04725       4.5791 
     3.02837       4.7982 
       2.957      4.89079 
     2.91577      4.78256 
     2.95357      4.81136 
     2.87131      4.74196 
     2.94653      4.60036 
     2.97768      4.76358 
     2.89771      4.90148 
     2.99868      4.67609 
     2.91131      4.63818 
      2.8626      4.73127 
     2.89367      4.80275 
      2.9352      4.54371 
     2.91598      4.59047 
     2.91949      4.78632 
