#      Train        Test
     0.85163     0.736111 
    0.861921     0.690972 
    0.846484     0.753472 
    0.849057     0.743056 
     0.84048     0.725694 
    0.848199     0.756944 
    0.850772         0.75 
    0.838765     0.711806 
     0.85506      0.71875 
    0.860206     0.715278 
    0.854202     0.739583 
    0.857633     0.715278 
     0.85506     0.743056 
    0.854202     0.736111 
    0.859348         0.75 
     0.85506     0.729167 
    0.857633     0.743056 
    0.852487     0.729167 
    0.857633     0.725694 
    0.859348     0.732639 
    0.860206     0.736111 
    0.866209     0.739583 
    0.850772     0.739583 
    0.854202         0.75 
    0.843911     0.743056 
    0.855918     0.736111 
    0.861921     0.711806 
    0.848199     0.732639 
     0.85163     0.743056 
    0.861063     0.715278 
    0.860206     0.743056 
    0.857633     0.756944 
    0.854202     0.743056 
    0.866209      0.78125 
    0.849057     0.743056 
    0.860206     0.746528 
    0.855918         0.75 
    0.861063         0.75 
    0.863636     0.725694 
    0.857633     0.708333 
    0.870497     0.760417 
    0.866209     0.736111 
    0.867925         0.75 
    0.859348     0.704861 
    0.854202     0.729167 
    0.859348      0.71875 
    0.854202     0.756944 
    0.853345     0.732639 
     0.85506     0.753472 
    0.860206     0.739583 
    0.864494     0.725694 
    0.848199     0.732639 
    0.850772     0.708333 
    0.856775     0.743056 
    0.866209     0.753472 
    0.861063     0.746528 
    0.849057     0.739583 
    0.849914     0.743056 
    0.864494     0.739583 
    0.847341     0.760417 
    0.861921         0.75 
    0.861063     0.725694 
    0.861921     0.722222 
    0.861921     0.756944 
    0.853345     0.763889 
    0.863636     0.767361 
    0.862779     0.732639 
    0.859348     0.736111 
     0.85506     0.729167 
    0.857633     0.743056 
    0.867067     0.701389 
    0.857633     0.736111 
    0.866209     0.767361 
    0.858491     0.743056 
    0.861921     0.753472 
    0.861063     0.729167 
    0.864494     0.736111 
     0.86964     0.739583 
    0.867067     0.725694 
    0.862779     0.763889 
    0.870497     0.777778 
    0.856775     0.743056 
    0.868782     0.760417 
    0.867925     0.756944 
    0.874786     0.729167 
    0.866209     0.753472 
    0.863636     0.760417 
    0.855918     0.743056 
    0.863636     0.736111 
    0.854202     0.743056 
    0.875643     0.743056 
